Item,Description,Quantity,Unit Price ($),Total Price ($),URL
995 or 946 servo,servos,3,$20.59,$20.59,https://www.aliexpress.us/item/3256807691440481.html?spm=a2g0o.tesla.0.0.6649RdjKRdjKCP&pdp_npi=6%40dis%21USD%21%2414.81%21%245.24%21%21%21%21%21%402101f4c617608930000666860e8c11%2112000042667266142%21btfpre%21%21%21%211%210%21&afTraceInfo=1005007877755233__pc__c_ppc_item_bridge_pc_main__bsd3NSE__1760893000147&gatewayAdapt=glo2usa4itemAdapt
SG90 SERVO,better servo,1,$2.56,$23.15,https://www.aliexpress.us/item/3256806385982254.html?spm=a2g0o.productlist.main.1.3c401859MsLqMl&algo_pvid=de0cee68-bc4c-46ae-a5cd-7e4b798caf6e&algo_exp_id=de0cee68-bc4c-46ae-a5cd-7e4b798caf6e-0&pdp_ext_f=%7B%22order%22%3A%223323%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.36%210.99%21%21%212.36%210.99%21%4021030a6217608931315118355e6c56%2112000037705759120%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af721e464%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=QIvFvcWaUMhg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006572297006%7C_p_origin_prod%3A
6 Color Wire 18AWG,wireing,2,$26.14,$49.29,https://www.aliexpress.us/item/3256809902774213.html?spm=a2g0o.productlist.main.32.38f81e7fwE69AS&algo_pvid=8aa112fb-fe3f-4367-8313-84b5852a915c&algo_exp_id=8aa112fb-fe3f-4367-8313-84b5852a915c-29&pdp_ext_f=%7B%22order%22%3A%22231%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010089088965%22%2C%22orig_item_id%22%3A%221005007670999760%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.12%2110.56%21%21%21149.82%2174.91%21%40210325a917611934300897508e643f%2112000051099321692%21sea%21US%216397114690%21X%211%210%21n_tag%3A-29919%3Bd%3Af721e464%3Bm03_new_user%3A-29895&curPageLogUid=Co9WpGZALAh0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010089088965%7C_p_origin_prod%3A1005007670999760
M6 selflocking nut,selflocking nuts,1,$1.01,$50.30,https://www.aliexpress.us/item/3256806783333884.html?spm=a2g0o.productlist.main.10.259b529dHz9wWx&algo_pvid=4027bfd5-c293-4058-8f1c-31be8c459818&algo_exp_id=4027bfd5-c293-4058-8f1c-31be8c459818-9&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.72%210.72%21%21%215.13%215.13%21%402103212f17608932261537903ec73a%2112000038892561294%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af721e464%3Bm03_new_user%3A-29895&curPageLogUid=R00V5r1IBDhc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006969648636%7C_p_origin_prod%3A
M6x25 screw,screws,1,$2.55,$52.85,https://www.aliexpress.us/item/3256805692722422.html?spm=a2g0o.productlist.main.8.10af1997En4AjD&aem_p4p_detail=2025101910031010781658142903680005371675&algo_pvid=347ef3a4-9b50-4ef8-9b36-b1f83e42da3a&algo_exp_id=347ef3a4-9b50-4ef8-9b36-b1f83e42da3a-7&pdp_ext_f=%7B%22order%22%3A%228846%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.17%210.99%21%21%212.17%210.99%21%402101c45717608933907067024ee714%2112000034679037311%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af721e464%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=J3qVxhLQ6qpK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005879037174%7C_p_origin_prod%3A&search_p4p_id=2025101910031010781658142903680005371675_2
M3 selflocking nuts,selflocking nuts,2,$0.72,$53.57,https://www.aliexpress.us/item/3256806783333884.html?spm=a2g0o.productlist.main.10.259b529dSfJtQw&algo_pvid=4027bfd5-c293-4058-8f1c-31be8c459818&algo_exp_id=4027bfd5-c293-4058-8f1c-31be8c459818-9&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.72%210.72%21%21%215.13%215.13%21%402103212f17608932261537903ec73a%2112000038892561294%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af721e464%3Bm03_new_user%3A-29895&curPageLogUid=R00V5r1IBDhc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006969648636%7C_p_origin_prod%3A
M3 x 20 screws,screws,2,$1.38,$54.95,https://www.aliexpress.us/item/3256805692722422.html?spm=a2g0o.productlist.main.8.1c174dfeEurkHc&algo_pvid=56245429-419c-4c2c-b452-ad5d6188eae4&algo_exp_id=56245429-419c-4c2c-b452-ad5d6188eae4-7&pdp_ext_f=%7B%22order%22%3A%228846%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.17%210.99%21%21%212.17%210.99%21%402101c44f17608935522115638e4369%2112000034679037311%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af721e464%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=cRvDEhQoA5ap&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005879037174%7C_p_origin_prod%3A
M3 x 10 hex recessed head screw,screws,1,$2.34,$57.29,https://www.aliexpress.us/item/3256804883804669.html?spm=a2g0o.productlist.main.3.68fe712cU3RIUk&algo_pvid=adaa5c1d-3e39-4141-b5a9-7e3f50f27d11&algo_exp_id=adaa5c1d-3e39-4141-b5a9-7e3f50f27d11-2&pdp_ext_f=%7B%22order%22%3A%228477%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.39%210.99%21%21%211.39%210.99%21%4021030a6217608936460221653e6c59%2112000031519353259%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af721e464%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461911&curPageLogUid=3AgbfcgFTx8W&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005070119421%7C_p_origin_prod%3A
M4 selflocking nuts,selflocking nuts,9,$0.72,$58.01,https://www.aliexpress.us/item/3256806783333884.html?spm=a2g0o.productlist.main.10.259b529dSfJtQw&algo_pvid=4027bfd5-c293-4058-8f1c-31be8c459818&algo_exp_id=4027bfd5-c293-4058-8f1c-31be8c459818-9&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.72%210.72%21%21%215.13%215.13%21%402103212f17608932261537903ec73a%2112000038892561294%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af721e464%3Bm03_new_user%3A-29895&curPageLogUid=R00V5r1IBDhc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006969648636%7C_p_origin_prod%3A
M4 x 40 screw,screws,1,$1.90,$59.91,https://www.aliexpress.us/item/3256805692722422.html?spm=a2g0o.productlist.main.8.6861cb897ymdCX&aem_p4p_detail=20251019100941982061052903040005377359&algo_pvid=425baea2-2085-4f92-a2ca-38a110040ce3&algo_exp_id=425baea2-2085-4f92-a2ca-38a110040ce3-7&pdp_ext_f=%7B%22order%22%3A%228846%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.17%210.99%21%21%212.17%210.99%21%40210318a717608937809987888e0301%2112000034679037311%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af721e464%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=ML9cClflsuWR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005879037174%7C_p_origin_prod%3A&search_p4p_id=20251019100941982061052903040005377359_2
