Item,Description,Quantity,Unit Price ($),Total Price ($),URL
995 or 946 servo,servos,3,$20.59,$20.59,aliexpress
SG90 SERVO,better servo,1,$2.56,$23.15,aliexpress
6 Color Wire 18AWG,wireing,2,$26.14,$49.29,aliexpress
M6 selflocking nut,selflocking nuts,1,$1.01,$50.30,aliexpress
M6x25 screw,screws,1,$2.55,$52.85,aliexpress
M3 selflocking nuts,selflocking nuts,2,$0.72,$53.57,aliexpress
M3 x 20 screws,screws,2,$1.38,$54.95,aliexpress
M3 x 10 hex recessed head screw,screws,1,$2.34,$57.29,aliexpress
M4 selflocking nuts,selflocking nuts,9,$0.72,$58.01,aliexpress
M4 x 40 screw,screws,1,$1.90,$59.91,aliexpress
M4 x 30 screw,screws,1,$1.72,$61.63,aliexpress
M4 x 20 screw,screws,5,$5.19,$66.82,aliexpress
M4 x 60mm threated rod,threaded rod,1,$2.97,$69.79,aliexpress
M4 x 32mm threated rod,threaded rod,1,$3.61,$73.40,aliexpress
Ø6 mm ball spheres,ball bearings no housing,25,$1.67,$75.07,aliexpress
606zz bearing,bearing,1,$1.99,$77.06,aliexpress
some M4 washers,washers,15,$1.49,$78.55,aliexpress
ERYONE 1KG ASA Carbon Fiber Filament Black,ASA filament,2,$25.20,$103.75,aliexpress
usb camera,the eyes,1,$21.81,$125.56,aliexpress
JST Connector Kit,wire connectors,1,$6,$131.55,aliexpress
Dupont Connector Kit,wire connectors,1,$4.34,$135.89,aliexpress
Teensy 4.0 (New MCU for Teensy circuit v5.x),the brain,1,$23.80,$159.69,adafruit
,,,,,
,,Total With Tax,,,
,,,,,
,,$171.27,,,
